iter	Passed	Remaining
833	37079	7380
834	37126	7336
835	37181	7293
836	37226	7249
837	37269	7204
838	37318	7161
839	37369	7118
840	37411	7073
841	37448	7027
842	37485	6981
843	37521	6935
844	37558	6889
845	37614	6847
846	37654	6801
847	37691	6756
848	37732	6711
849	37779	6666
850	37827	6623
851	37875	6579
852	37918	6534
853	37962	6490
854	38011	6446
855	38051	6401
856	38097	6356
857	38136	6311
858	38179	6266
859	38227	6223
860	38269	6178
861	38322	6135
862	38358	6089
863	38393	6043
864	38429	5997
865	38489	5955
866	38548	5913
867	38590	5868
868	38630	5823
869	38667	5777
870	38705	5732
871	38746	5687
872	38797	5644
873	38840	5599
874	38905	5557
875	38946	5513
876	38986	5467
877	39022	5422
878	39071	5378
879	39126	5335
880	39170	5290
881	39213	5246
882	39277	5204
883	39314	5158
884	39349	5113
885	39403	5069
886	39445	5025
887	39493	4981
888	39536	4936
889	39585	4892
890	39629	4848
891	39675	4803
892	39719	4759
893	39782	4716
894	39829	4672
895	39866	4627
896	39904	4582
897	39951	4537
898	39994	4493
899	40042	4449
900	40085	4404
901	40132	4360
902	40172	4315
903	40212	4270
904	40259	4226
905	40300	4181
906	40341	4136
907	40378	4091
908	40423	4046
909	40471	4002
910	40508	3957
911	40548	3912
912	40592	3868
913	40638	3823
914	40688	3779
915	40733	3735
916	40779	3691
917	40822	3646
918	40875	3602
919	40918	3558
920	40964	3513
921	41003	3468
922	41044	3424
923	41103	3380
924	41145	3336
925	41195	3292
926	41239	3247
927	41274	3202
928	41338	3159
929	41384	3114
930	41431	3070
931	41468	3025
932	41519	2981
933	41565	2937
934	41598	2891
935	41635	2846
936	41678	2802
937	41723	2757
938	41764	2713
939	41800	2668
940	41835	2623
941	41875	2578
942	41939	2535
943	41980	2490
944	42014	2445
945	42051	2400
946	42092	2355
947	42135	2311
948	42185	2267
949	42226	2222
950	42264	2177
951	42302	2132
952	42338	2088
953	42380	2043
954	42431	1999
955	42468	1954
956	42520	1910
957	42582	1866
958	42628	1822
959	42667	1777
960	42709	1733
961	42753	1688
962	42788	1643
963	42822	1599
964	42859	1554
965	42902	1510
966	42948	1465
967	42984	1420
968	43023	1376
969	43077	1332
970	43113	1287
971	43152	1243
972	43194	1198
973	43239	1154
974	43286	1109
975	43338	1065
976	43382	1021
977	43425	976
978	43464	932
979	43515	888
980	43561	843
981	43601	799
982	43651	754
983	43699	710
984	43733	665
985	43779	621
986	43823	577
987	43860	532
988	43900	488
989	43947	443
990	43992	399
991	44059	355
992	44105	310
993	44146	266
994	44195	222
995	44242	177
996	44284	133
997	44321	88
998	44363	44
999	44398	0
